Questionnaire;Département;q1;q2a_1;q2a_2;q2b_1;q2b_2;q2c_1;q2c_2;q3a;q3b;q3b1_1;q3b1_2;q3b1_3;q3b1_4;q3b1_5;q3b1_6;q3b1_7;q3b1_8;q3c;q4a_1;q4a_2;q4a_3;q4a_4;q4a_5;q4a_6;q4b_1;q4b_2;q4b_3;q4b_4;q4b_5;q4b_6;q4c_1;q4c_2;q4c_3;q4c_4;q4c_5;q4c_6;q5;q6;q7;q8;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q10;q11;q11b1;q11b2;q11b3;q11b4;q11b5;q11b6;q11b7;q11b8;q11b9;q11b10;q11b11;q11b12;q11b13;q12;q13;q13b_1;q13b_2;q13b_3;q13b_4;q13b_5;q13b_6;q13b_7;q14;q15;q16_1;q16_2;q16_3;q16_4;q16_5;q16_6;q17;q18;q18b;q19;q20parents_1;q20parents_2;q20parents_3;q20parents_4;q20parents_5;q20parents_6;q20enfants_1;q20enfants_2;q20enfants_3;q20enfants_4;q20enfants_5;q20enfants_6;q21;q21b;q22;q23;q23b;q23b_autre;s1;villesstd;classville;s2;ageaine;s4_1;s4_2;s4_3;s5;s5b;S6_1;age;s8_1;s9_1;s6_2;agecon;s8_2;S9_2;agemen;cspmen;cspgroup;classeage;classenbenfant;classeageaine;;;;;;
21;1;2;2;3;1;1;2;2;2;1;0;0;0;1;1;1;0;0;1;5;5;5;5;5;5;3;1;4;4;1;3;3;3;3;3;3;3;2;2;1;2;0;0;1;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;1;0;1;0;3;2;0;0;0;0;0;0;2;2;995;4;2;2;2;2;2;3;2;2;2;2;2;2;1;2;2;1;2;;999;999;999;2;22;6;6;997;1;999;2;50;1;3;1;55;1;4;55;4;2;4;2;4;;;;;;
22;1;2;2;3;3;3;999;2;2;3;995;995;995;995;995;995;995;995;2;4;3;4;3;2;2;999;999;999;999;999;999;2;2;2;2;2;2;1;2;2;1;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;1;0;0;0;0;1;0;3;2;995;4;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;995;;PLASNES;PLASNES;3;3;14;997;997;997;1;999;2;39;1;2;1;39;1;5;39;5;3;2;3;3;;;;;;
23;1;2;2;2;1;1;2;2;3;1;0;1;0;0;0;0;1;0;2;5;3;5;5;3;5;4;2;4;4;3;4;3;2;3;3;2;3;1;2;2;1;0;0;0;0;0;1;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;0;0;0;0;0;0;4;1;0;0;0;0;0;1;3;2;995;3;2;2;2;3;2;3;2;2;2;2;3;2;1;2;2;4;995;;ANGERVILLE LA CAMPAGNE;ANGERVILLELACAMPAGNE;2;2;12;997;997;997;1;2;1;41;1;3;2;36;1;5;41;3;1;3;2;3;;;;;;
24;1;2;4;4;1;3;1;1;3;1;1;0;0;0;1;1;0;0;1;4;3;3;3;3;2;4;3;3;3;3;2;3;1;1;1;2;2;3;3;5;2;0;0;0;0;0;1;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;1;0;0;0;0;0;999;2;0;1;0;0;0;0;3;2;995;2;2;2;2;1;2;3;2;2;2;2;2;3;1;2;999;1;4;;STE OPPORTUNE DU BOSC;STEOPPORTUNEDUBOSC;3;3;16;3;997;997;1;2;2;38;1;3;1;41;1;6;41;6;3;3;3;3;;;;;;
25;1;2;3;2;1;1;1;2;2;1;1;0;0;0;1;0;1;0;2;2;3;2;2;3;3;3;3;3;3;3;4;3;2;2;3;2;3;2;2;2;3;0;0;1;0;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;0;0;0;0;1;2;2;995;2;2;2;2;2;3;3;2;2;2;2;3;3;1;2;4;1;4;;conches en ouche;CONCHESENOUCHE;3;2;8;997;997;997;1;999;1;39;1;3;1;39;1;3;39;3;1;2;2;2;;;;;;
26;1;2;2;1;3;3;2;2;2;1;0;1;0;0;1;0;0;0;1;4;4;4;4;4;4;1;3;3;3;3;3;1;2;2;2;2;2;2;2;1;3;0;0;0;0;0;1;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;1;1;0;0;0;0;1;0;3;2;995;2;2;2;2;2;2;2;999;999;999;999;999;999;1;2;1;1;4;;houlbec cocherel;HOULBECCOCHEREL;3;2;16;2;1;997;1;1;1;46;1;2;1;61;1;7;46;2;1;3;2;3;;;;;;
27;1;1;3;2;1;1;1;1;2;1;0;0;0;0;1;1;0;0;1;1;3;2;2;4;2;1;3;2;2;3;2;2;1;1;2;1;2;2;2;5;2;0;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;2;995;4;2;2;2;2;2;2;2;2;2;2;2;2;1;999;4;1;1;;la haye de calleville;LAHAYEDECALLEVILLE;3;2;18;5;3;997;1;999;1;40;1;3;2;42;1;5;40;3;1;3;2;4;;;;;;
28;1;2;3;3;3;3;1;1;2;3;995;995;995;995;995;995;995;995;1;3;3;3;5;3;3;3;3;3;4;3;3;1;1;1;3;1;1;2;2;2;2;0;0;0;0;0;1;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;3;2;995;4;2;2;2;2;2;3;2;2;2;2;2;3;1;2;999;2;995;;GUICHAINVILLE;GUICHAINVILLE;3;1;12;997;997;997;1;999;2;43;1;2;1;51;1;2;51;2;1;4;1;3;;;;;;
29;1;2;3;2;1;1;2;2;2;1;0;1;1;0;0;1;1;0;2;3;2;1;5;5;2;1;1;1;4;4;1;1;1;1;3;3;1;2;2;3;3;1;1;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;995;995;995;995;995;995;995;995;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;1;6;;FONTAINE BELLANGER;FONTAINEBELLANGER;3;2;13;997;997;997;1;999;2;39;1;2;1;41;1;4;41;4;2;3;2;3;;;;;;
30;1;2;3;1;3;2;2;2;2;3;995;995;995;995;995;995;995;995;2;1;3;3;3;3;3;2;3;3;3;3;3;1;1;1;1;1;1;3;2;1;1;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;1;0;0;0;0;1;0;3;2;995;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;4;;LIEUREY;LIEUREY;3;2;13;1;997;997;1;1;2;39;1;2;1;40;1;2;40;2;1;3;2;3;;;;;;
