Questionnaire;Département;q1;q2a_1;q2a_2;q2b_1;q2b_2;q2c_1;q2c_2;q3a;q3b;q3b1_1;q3b1_2;q3b1_3;q3b1_4;q3b1_5;q3b1_6;q3b1_7;q3b1_8;q3c;q4a_1;q4a_2;q4a_3;q4a_4;q4a_5;q4a_6;q4b_1;q4b_2;q4b_3;q4b_4;q4b_5;q4b_6;q4c_1;q4c_2;q4c_3;q4c_4;q4c_5;q4c_6;q5;q6;q7;q8;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q10;q11;q11b1;q11b2;q11b3;q11b4;q11b5;q11b6;q11b7;q11b8;q11b9;q11b10;q11b11;q11b12;q11b13;q12;q13;q13b_1;q13b_2;q13b_3;q13b_4;q13b_5;q13b_6;q13b_7;q14;q15;q16_1;q16_2;q16_3;q16_4;q16_5;q16_6;q17;q18;q18b;q19;q20parents_1;q20parents_2;q20parents_3;q20parents_4;q20parents_5;q20parents_6;q20enfants_1;q20enfants_2;q20enfants_3;q20enfants_4;q20enfants_5;q20enfants_6;q21;q21b;q22;q23;q23b;q23b_autre;s1;villesstd;classville;s2;ageaine;s4_1;s4_2;s4_3;s5;s5b;S6_1;age;s8_1;s9_1;s6_2;agecon;s8_2;S9_2;agemen;cspmen;cspgroup;classeage;classenbenfant;classeageaine;;;;;;
387;1;999;2;2;1;1;2;1;1;1;1;0;1;1;1;0;1;0;1;2;2;2;2;2;2;3;1;3;3;3;1;1;1;1;1;1;1;1;2;1;2;0;1;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;1;1;0;0;0;0;0;2;2;995;4;2;2;2;2;2;3;2;2;2;2;2;3;1;2;4;4;995;;BOSGOUET;BOSGOUET;3;2;12;1;997;997;1;2;2;37;1;6;1;38;1;4;38;4;2;2;2;3;;;;;;
388;1;2;2;2;1;1;1;1;2;3;995;995;995;995;995;995;995;995;2;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;1;3;1;1;0;0;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;1;2;0;0;0;0;1;0;999;1;3;4;2;2;2;2;2;3;2;2;2;2;2;3;1;2;4;1;1;;GAILLON;GAILLON;2;2;23;6;6;997;1;1;2;55;1;5;1;56;1;5;56;5;3;4;2;4;;;;;;
389;1;2;3;2;3;1;1;2;2;1;1;0;1;1;0;0;0;0;2;5;2;2;5;3;3;4;3;1;4;3;1;3;1;1;3;1;1;4;4;5;3;1;0;1;1;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;1;0;0;0;2;2;995;4;2;1;2;1;1;3;2;2;2;2;2;3;1;2;3;2;995;;DAUBEUF PRES VATTEVILLE;DAUBEUFPRESVATTEVILLE;3;1;14;1;997;997;1;1;2;50;1;5;1;52;1;5;52;5;3;4;1;3;;;;;;
390;1;1;2;1;3;3;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;5;2;5;3;3;2;4;3;3;1;2;2;3;1;1;2;3;2;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;0;0;1;0;0;2;2;995;4;2;2;2;2;2;3;2;2;2;2;3;3;1;2;4;2;995;;LE PLESSIS GROHAN;LEPLESSISGROHAN;3;1;11;997;997;997;1;1;2;45;1;5;1;54;1;3;54;3;1;4;1;2;;;;;;
391;1;2;3;3;1;1;2;2;1;2;0;0;0;0;0;0;0;0;2;3;2;3;5;2;1;3;3;3;4;2;2;2;2;2;3;2;2;1;2;1;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;999;2;0;0;0;0;0;0;0;999;1;0;0;0;1;0;0;3;999;999;4;2;2;2;2;2;3;2;2;2;2;2;2;1;2;3;4;995;;ST GERMAIN SUR AVRE;STGERMAINSURAVRE;2;1;12;997;997;997;1;999;2;48;1;5;1;51;1;3;51;3;1;4;1;3;;;;;;
392;1;2;2;1;1;1;1;1;2;1;1;0;1;0;0;1;0;0;2;2;2;2;2;2;2;3;1;1;2;1;1;2;2;2;2;2;1;999;3;1;1;1;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;0;1;0;2;2;995;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;1;4;;LA HEUNIERE;LAHEUNIERE;3;2;18;3;1;997;1;999;2;42;1;5;1;46;1;3;46;3;1;3;2;4;;;;;;
393;1;2;2;2;1;3;1;1;2;1;0;0;1;0;1;0;0;0;1;4;2;2;2;2;3;3;1;3;3;1;3;1;1;1;1;1;1;4;4;5;3;1;0;0;1;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;1;0;0;0;0;0;3;999;999;4;2;2;2;1;1;3;2;2;2;2;2;3;1;2;3;1;4;;BOURNEVILLE;BOURNEVILLE;3;2;12;997;997;997;1;2;1;38;1;6;2;40;2;8;38;6;3;2;2;3;;;;;;
394;1;1;1;2;1;3;1;1;1;1;1;0;0;1;1;0;0;0;1;3;2;2;3;3;2;3;1;2;4;1;2;1;1;2;2;1;2;2;3;2;2;0;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;1;0;0;3;2;995;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;1;2;;EPAIGNES;EPAIGNES;3;2;16;2;997;997;1;999;2;40;1;5;1;41;1;6;41;6;3;3;2;3;;;;;;
395;1;2;2;3;3;3;2;2;1;2;0;0;0;0;0;0;0;0;1;5;2;999;2;4;2;4;3;3;3;3;2;3;2;2;2;2;2;2;3;5;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;1;0;0;0;0;1;0;2;2;995;4;2;2;2;1;2;3;2;2;2;2;2;3;1;2;3;1;1;;PERRIERS SUR ANDELLE;PERRIERSSURANDELLE;3;2;17;2;2;997;1;999;1;44;1;6;2;45;1;5;44;6;3;3;2;3;;;;;;
396;1;2;3;2;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;5;5;5;999;2;5;4;4;4;4;4;4;3;3;3;3;3;3;4;4;2;3;1;0;0;1;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;0;0;0;0;0;1;3;999;4;4;999;1;1;1;1;999;999;1;1;1;1;999;1;2;4;999;999;;VERNEUIL SUR AVRE;VERNEUILSURAVRE;3;6;;6;6;6;1;999;1;61;2;7;2;59;1;5;61;7;4;4;4;1;;;;;;
397;1;2;2;2;1;1;1;1;2;1;1;1;1;0;1;0;0;0;1;1;3;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2;3;1;4;5;3;1;1;0;1;0;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;1;0;0;0;0;2;2;995;1;1;1;2;1;1;3;1;1;2;2;2;3;1;2;2;2;995;;LE GROS THEIL;LEGROSTHEIL;3;3;19;4;1;997;1;1;2;39;1;5;1;43;1;6;43;6;3;3;3;4;;;;;;
398;1;2;2;1;1;1;1;1;2;1;1;1;0;1;1;0;0;0;1;5;2;2;3;1;5;4;1;1;1;1;4;3;1;1;1;1;3;2;4;5;2;1;1;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;1;0;0;0;0;0;3;2;995;4;1;1;1;1;1;3;2;2;2;2;2;2;1;1;3;4;995;;LES ANDELYS;LESANDELYS;2;2;3;997;997;997;1;999;2;25;1;5;1;38;1;5;38;5;3;2;2;1;;;;;;
399;1;2;1;2;1;1;2;2;1;1;1;0;0;1;0;0;0;0;1;3;2;2;2;2;2;1;1;3;1;1;3;2;2;2;1;1;1;3;3;4;3;0;0;1;0;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;999;2;0;0;0;1;0;0;3;1;4;4;2;2;2;2;2;999;2;2;2;2;2;999;1;2;3;1;2;;HAUVILLE;HAUVILLE;3;3;20;6;2;997;1;999;2;43;1;5;1;45;1;6;45;6;3;3;3;4;;;;;;
400;1;2;2;1;1;2;2;2;2;2;0;0;0;0;0;0;0;0;2;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;0;0;1;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;0;0;0;0;1;0;3;2;995;4;2;2;2;2;2;3;999;999;999;999;999;999;1;2;4;2;995;;ST AUBIN DE SCELLON;STAUBINDESCELLON;3;2;24;6;6;997;1;999;1;54;1;6;2;57;1;5;54;6;3;4;2;4;;;;;;
401;1;2;2;1;1;1;2;2;2;3;995;995;995;995;995;995;995;995;2;4;2;3;5;2;5;1;3;1;4;2;4;1;2;1;3;2;3;1;3;5;2;0;0;1;0;1;0;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;1;0;0;0;0;1;0;3;2;995;1;2;2;2;2;2;3;2;2;2;2;2;3;1;2;2;1;6;;LES ESSARTS;LESESSARTS;3;2;8;997;997;997;1;999;2;37;1;5;1;31;1;5;31;5;3;2;2;2;;;;;;
402;1;2;2;1;1;1;1;1;2;1;0;0;1;1;0;1;0;0;1;2;2;2;1;1;1;3;1;3;3;1;1;1;1;1;1;1;1;3;3;1;3;1;0;0;0;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;0;0;4;2;0;0;0;1;0;0;3;2;995;3;2;2;2;1;1;1;2;2;2;2;2;3;1;2;4;1;4;;BERNAY;BERNAY;2;2;21;5;5;997;1;999;1;52;1;5;2;50;1;5;52;5;3;4;2;4;;;;;;
403;1;2;3;3;1;1;1;1;2;1;1;0;1;1;0;1;0;1;2;5;2;5;5;5;5;4;1;4;4;4;4;3;2;3;3;3;3;3;3;3;2;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;0;0;1;2;2;995;2;2;2;2;1;1;3;2;2;2;2;2;3;1;1;3;1;4;;LA SAUSSAYE;LASAUSSAYE;3;1;3;997;997;997;1;999;2;31;1;5;1;34;1;5;34;5;3;2;1;1;;;;;;
404;1;1;3;3;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;3;2;3;5;5;5;2;2;2;4;4;4;2;2;1;3;3;3;3;3;5;3;1;1;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;1;0;0;0;0;2;2;995;1;2;3;2;2;2;3;2;3;2;3;3;3;1;2;3;4;995;;AULNAY SUR ITON;AULNAYSURITON;3;1;2;997;997;997;1;999;1;24;1;6;2;23;1;5;24;6;3;1;1;1;;;;;;
405;1;1;4;4;1;1;1;1;2;1;1;0;0;0;0;0;1;0;2;5;4;3;5;2;5;4;3;3;4;3;4;3;1;2;3;2;3;3;3;3;1;0;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;2;0;1;0;0;0;0;2;2;995;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;2;995;;VERNON;VERNON;2;4;7;997;997;997;1;999;2;29;1;5;1;30;1;2;30;2;1;2;4;2;;;;;;
406;1;1;1;2;1;1;2;2;1;2;0;0;0;0;0;0;0;0;2;3;1;2;2;2;5;1;1;2;2;4;4;1;1;1;1;3;3;3;3;1;3;0;0;1;1;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;1;0;0;0;1;0;0;2;2;995;3;2;2;1;1;1;3;2;2;1;1;1;3;1;2;4;2;995;;ARNIERES SUR ITON;ARNIERESSURITON;2;1;19;4;997;997;1;999;2;56;1;5;1;62;2;7;62;7;4;4;1;4;;;;;;
407;1;2;3;2;1;2;2;1;1;2;0;0;0;0;0;0;0;0;2;2;3;3;2;3;1;3;1;2;2;1;1;1;2;1;1;2;2;3;3;3;3;1;1;0;1;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;1;0;0;0;0;3;1;4;1;2;2;2;1;1;999;2;2;2;2;2;2;1;2;3;1;3;;AMFREVILLE SOUS LES MONTS;AMFREVILLESOUSLESMONTS;3;3;16;3;997;997;1;1;2;38;1;5;1;39;1;6;39;6;3;2;3;3;;;;;;
408;1;1;2;2;1;1;2;1;1;1;1;1;0;1;0;0;0;0;1;3;2;2;5;3;3;3;1;1;4;1;1;3;1;1;3;1;1;3;3;2;3;1;1;0;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;3;2;0;0;0;1;0;0;2;2;995;3;2;2;2;1;1;1;2;2;2;2;2;2;1;2;2;1;4;;AUBEVOYE;AUBEVOYE;2;2;8;997;997;997;1;2;1;44;1;6;2;41;2;8;44;6;3;3;2;2;;;;;;
409;1;2;3;3;1;1;2;2;2;1;1;0;1;1;0;1;0;0;1;2;2;2;2;3;3;1;1;1;2;1;1;1;1;1;1;1;2;3;3;5;3;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;0;1;0;1;2;995;2;2;2;999;2;1;1;2;2;2;2;2;3;1;2;4;4;995;;999;999;999;3;15;2;1;997;1;2;2;43;1;5;1;49;1;5;49;5;3;3;3;3;;;;;;
410;1;2;3;1;1;1;1;2;1;1;1;1;0;1;0;0;0;0;1;1;2;3;5;2;1;4;1;999;4;999;999;1;1;2;3;2;1;3;3;1;3;1;0;1;1;0;0;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;1;0;0;0;0;0;3;2;995;3;2;2;2;2;2;999;2;2;2;2;2;3;1;2;3;3;995;;BEUZEVILLE;BEUZEVILLE;3;3;18;3;6;1;1;2;1;45;1;6;2;56;1;6;45;6;3;3;3;4;;;;;;
411;1;2;1;2;1;3;2;1;1;3;995;995;995;995;995;995;995;995;2;5;4;1;5;4;5;1;1;2;4;3;1;1;1;2;3;2;2;2;3;1;3;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;0;1;0;2;2;995;4;2;2;2;2;2;2;2;2;2;2;2;2;2;995;4;2;995;;999;999;999;1;6;997;997;997;1;999;2;33;1;5;1;34;1;6;34;6;3;2;1;2;;;;;;
412;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;4;2;1;5;3;2;3;2;2;4;1;2;1;1;1;3;2;2;3;3;2;3;0;1;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;1;0;0;3;2;995;4;2;2;2;2;2;3;2;2;2;2;2;3;1;2;4;2;995;;PRESSAGNY L'ORGUEILLEUX;PRESSAGNYLORGUEILLEUX;3;2;12;1;997;997;1;999;2;40;1;5;1;42;1;6;42;6;3;3;2;3;;;;;;
413;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;999;1;1;1;1;1;4;1;1;1;1;1;3;1;1;4;4;4;3;1;1;1;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;995;995;995;4;2;0;0;0;0;1;0;2;2;995;4;2;2;2;1;1;999;2;2;2;3;3;3;1;2;3;1;1;;ST ANDRE DE L EURE;STANDREDELEURE;3;2;5;997;997;997;1;999;1;30;1;5;2;30;2;8;30;5;3;2;2;1;;;;;;
414;1;3;3;4;1;1;1;1;3;1;0;1;1;1;1;0;0;0;1;2;3;2;2;3;3;999;999;999;999;999;999;999;999;999;999;999;999;1;2;1;2;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;995;;999;999;999;2;15;6;3;997;1;999;2;50;1;6;1;51;1;5;51;5;3;4;2;3;;;;;;
415;1;2;3;2;1;1;1;2;2;1;0;1;1;0;0;0;0;0;2;5;2;4;5;2;5;4;1;3;4;4;4;3;1;2;3;3;3;1;2;5;3;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;2;995;4;2;2;2;2;2;3;2;2;2;2;3;3;1;2;3;2;995;;EVREUX;EVREUX;2;2;8;997;997;997;1;999;2;40;1;5;1;40;1;3;40;3;1;3;2;2;;;;;;
416;1;2;2;1;1;1;2;2;3;3;995;995;995;995;995;995;995;995;2;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;1;2;1;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;1;0;0;0;0;1;0;2;2;995;4;2;1;1;2;2;3;2;2;2;3;3;3;1;2;3;2;995;;LES BAUX SAINTE CROIX;LESBAUXSAINTECROIX;3;1;0;997;997;997;1;999;2;25;1;5;1;24;1;6;24;6;3;1;1;1;;;;;;
417;1;2;3;2;1;1;2;1;2;3;995;995;995;995;995;995;995;995;1;5;2;2;5;2;2;4;1;3;4;3;3;999;2;2;3;2;2;3;4;5;3;0;1;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;0;0;0;0;1;0;2;2;995;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;1;6;;DOUVILLE SUR ANDELLE;DOUVILLESURANDELLE;3;2;13;997;997;997;1;999;2;43;1;5;1;40;1;6;40;6;3;3;2;3;;;;;;
418;1;1;2;2;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;5;3;1;0;1;1;0;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;3;995;;EVREUX;EVREUX;2;2;24;6;6;997;2;997;2;47;1;6;997;997;997;997;47;6;3;3;2;4;;;;;;
419;1;2;2;2;1;1;1;1;2;1;1;1;1;1;0;1;0;0;1;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;4;3;5;2;0;0;1;0;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;0;0;0;0;0;2;2;995;4;2;2;1;2;2;3;2;2;2;2;2;2;1;2;3;2;995;;NASSANDRES;NASSANDRES;3;3;24;6;6;6;1;1;1;52;1;6;2;51;1;5;52;6;3;4;3;4;;;;;;
420;1;1;2;2;3;3;2;2;1;1;0;0;1;0;0;0;0;0;2;3;2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;5;3;0;0;0;1;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;0;0;0;0;1;0;3;2;995;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;4;1;4;;BREUILPONT;BREUILPONT;3;3;20;4;2;997;1;999;2;42;1;5;1;45;1;3;45;3;1;3;3;4;;;;;;
421;1;1;2;2;1;1;1;1;1;3;995;995;995;995;995;995;995;995;1;3;2;1;5;2;3;3;3;3;4;3;3;1;1;1;3;1;1;3;3;5;2;0;1;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;1;0;0;0;1;0;0;999;2;995;4;2;2;2;1;2;3;2;2;2;2;2;2;1;2;4;1;6;;PARVILLE;PARVILLE;3;2;13;997;997;997;1;1;2;37;1;5;1;37;1;5;37;5;3;2;2;3;;;;;;
422;1;2;3;2;3;2;1;1;1;2;0;0;0;0;0;0;0;0;1;5;3;5;5;5;5;4;2;4;4;4;4;3;1;3;3;3;3;3;3;2;3;1;0;0;0;0;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;3;1;0;0;0;1;0;0;3;999;999;4;1;1;2;1;1;1;2;2;2;2;2;2;1;2;4;4;995;;ECAQUELON;ECAQUELON;3;2;2;997;997;997;1;999;2;29;1;6;1;31;1;6;31;6;3;2;2;1;;;;;;
423;1;1;3;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;5;1;1;5;5;1;4;2;2;4;4;2;3;1;1;3;2;1;4;4;5;3;1;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;0;0;0;0;0;0;0;999;1;0;1;0;0;0;0;2;2;995;4;2;2;2;2;3;999;2;2;2;2;2;2;1;2;4;1;2;;GRANDVILLIERS;GRANDVILLIERS;3;1;7;997;997;997;1;1;2;30;1;5;1;40;2;8;40;8;4;3;1;2;;;;;;
424;1;1;3;1;3;1;1;2;1;1;1;0;0;1;0;0;0;0;1;1;1;1;1;2;1;3;1;3;3;1;1;2;1;2;2;1;1;3;3;5;3;0;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;0;0;0;0;0;0;0;999;1;0;0;0;1;0;0;3;2;995;3;2;2;2;2;2;2;2;2;2;1;2;999;1;2;4;2;995;;LA HAYE DE ROUTOT;LAHAYEDEROUTOT;3;2;20;5;1;997;1;999;2;46;1;5;1;47;1;6;47;6;3;3;2;4;;;;;;
425;1;1;1;1;1;1;1;1;1;999;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;999;1;1;1;1;4;4;5;3;0;1;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;1;0;1;0;0;0;0;1;2;995;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;6;;LE FIDELAIRE;LEFIDELAIRE;3;2;4;997;997;997;1;999;1;35;1;5;2;32;1;5;35;5;3;2;2;1;;;;;;
426;1;1;2;1;1;1;1;1;2;1;0;1;0;1;0;0;0;1;1;3;2;3;3;3;3;3;1;3;3;3;3;3;1;2;2;1;2;3;3;2;3;1;0;1;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;1;0;0;0;1;0;0;2;999;999;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;2;995;;CAMPIGNY;CAMPIGNY;3;2;16;2;997;997;1;1;2;40;1;5;1;39;1;5;39;5;3;2;2;3;;;;;;
427;1;1;1;1;3;3;1;1;1;2;0;0;0;0;0;0;0;0;1;2;2;2;1;2;1;2;2;2;2;1;1;1;1;1;1;1;1;4;4;5;3;1;1;0;1;0;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;1;0;0;0;0;1;1;999;1;2;2;2;2;2;2;1;1;1;1;1;999;1;2;4;1;4;;BOISEMONT;BOISEMONT;3;3;17;2;1;997;1;999;2;40;1;6;1;41;1;2;41;2;1;3;3;3;;;;;;
428;1;2;2;2;3;3;2;2;2;1;0;0;0;1;0;1;0;0;1;3;3;5;999;2;3;3;3;3;4;2;3;2;2;2;3;1;2;2;2;2;2;0;0;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;1;0;0;1;0;0;0;3;2;995;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;3;1;2;;NOTRE DAME D EPINE;NOTREDAMEDEPINE;3;2;8;997;997;997;1;2;2;34;1;5;1;39;1;3;39;3;1;2;2;2;;;;;;
429;1;2;2;2;1;1;2;2;2;1;1;0;1;0;0;0;0;0;1;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;3;4;3;3;1;0;1;0;1;0;2;2;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;2;2;0;0;0;0;1;0;3;2;995;2;2;1;2;1;3;3;2;2;2;2;2;2;1;2;4;1;3;;BOURG ACHARD;BOURGACHARD;3;4;13;997;997;997;1;1;2;37;1;5;1;39;2;8;39;8;4;2;4;3;;;;;;
430;1;2;3;1;3;1;2;2;2;1;0;1;0;0;0;1;0;0;2;5;3;999;5;5;5;4;3;999;4;4;4;999;2;3;3;3;3;3;2;1;2;0;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;1;2;0;0;0;1;0;0;2;2;995;4;2;2;2;1;1;3;2;2;2;2;3;3;1;2;3;4;995;;ST SEBASTIEN DE MORSENT;STSEBASTIENDEMORSENT;2;2;8;997;997;997;1;1;2;38;1;5;1;35;1;2;35;2;1;2;2;2;;;;;;
431;1;2;2;2;1;1;2;2;2;1;1;0;0;0;0;0;0;0;2;2;2;1;999;1;1;3;1;1;4;4;1;2;2;2;2;2;2;3;3;5;3;0;1;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;0;0;0;1;0;0;2;2;995;4;1;1;2;1;1;1;2;2;2;1;1;2;2;995;4;3;995;;MARCILLY SUR EURE;MARCILLYSUREURE;3;3;25;6;1;997;1;999;2;44;1;5;1;47;1;6;47;6;3;3;3;4;;;;;;
432;1;2;3;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;2;3;3;3;5;4;5;3;999;2;3;3;3;2;2;2;3;2;2;3;3;2;3;0;0;0;0;1;0;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;2;0;0;0;1;0;0;1;2;995;1;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;2;995;;GRAVERON SEMERVILLE;GRAVERONSEMERVILLE;3;2;17;2;997;997;1;1;2;42;1;5;1;40;1;5;40;5;3;3;2;3;;;;;;
433;1;1;2;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;5;2;2;2;2;5;3;2;2;3;2;3;2;1;1;2;2;2;3;3;5;1;1;0;0;1;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;1;1;0;0;0;0;0;2;2;995;4;2;2;2;1;3;2;2;2;2;2;3;3;1;2;3;4;995;;CHARLEVAL;CHARLEVAL;3;3;9;997;997;997;1;999;2;29;1;5;1;38;1;5;38;5;3;2;3;2;;;;;;
434;1;2;3;2;3;1;1;1;1;1;0;1;0;1;1;0;0;0;1;2;3;2;2;4;3;3;3;3;1;1;3;1;1;2;1;1;1;2;3;2;3;1;1;0;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;999;1;0;0;0;1;0;0;1;1;1;1;2;1;2;1;1;999;2;2;2;2;2;999;1;2;3;999;4;;TOURVILLE LA CAMPAGNE;TOURVILLELACAMPAGNE;3;2;13;6;5;997;1;999;1;50;1;6;2;47;1;5;50;6;3;4;2;3;;;;;;
